Sample	Coverage	D	Z.score	Filter	Data Type	Software
SRA62	Original Coverage	-0.0515	-10.312	Genotype Calls Only Transversions	Genotype Calls	Admixtools
Stuttgart	Original Coverage	-0.0417	-8.873	Genotype Calls Only Transversions	Genotype Calls	Admixtools
USR1	Original Coverage	-0.0402	-7.377	Genotype Calls Only Transversions	Genotype Calls	Admixtools
Ust_Ishim	Original Coverage	-0.0552	-8.837	Genotype Calls Only Transversions	Genotype Calls	Admixtools
WC1	Original Coverage	-0.0429	-8.871	Genotype Calls Only Transversions	Genotype Calls	Admixtools
Yamnaya	Original Coverage	-0.0496	-8.412	Genotype Calls Only Transversions	Genotype Calls	Admixtools
Yana1	Original Coverage	-0.0631	-10.891	Genotype Calls Only Transversions	Genotype Calls	Admixtools
2H10	Original Coverage	-0.0225	-6.185	Imputed Filtered MAF05	Genotype Calls	Admixtools
2H11	Original Coverage	-0.0221	-6.424	Imputed Filtered MAF05	Genotype Calls	Admixtools
atp016	Original Coverage	-0.0279	-5.58	Imputed Filtered MAF05	Genotype Calls	Admixtools
BA64	Original Coverage	-0.0298	-6.878	Imputed Filtered MAF05	Genotype Calls	Admixtools
BOT2016	Original Coverage	-0.0259	-7.485	Imputed Filtered MAF05	Genotype Calls	Admixtools
JP14	Original Coverage	-0.0266	-4.33	Imputed Filtered MAF05	Genotype Calls	Admixtools
KK1	Original Coverage	-0.0213	-4.497	Imputed Filtered MAF05	Genotype Calls	Admixtools
Kolyma1	Original Coverage	-0.0347	-6.277	Imputed Filtered MAF05	Genotype Calls	Admixtools
Loschbour	Original Coverage	-0.0252	-5.313	Imputed Filtered MAF05	Genotype Calls	Admixtools
Mota	Original Coverage	-0.0147	-3.726	Imputed Filtered MAF05	Genotype Calls	Admixtools
NE1	Original Coverage	-0.0209	-4.473	Imputed Filtered MAF05	Genotype Calls	Admixtools
PB675	Original Coverage	-0.0245	-4.191	Imputed Filtered MAF05	Genotype Calls	Admixtools
sf12	Original Coverage	-0.0209	-3.103	Imputed Filtered MAF05	Genotype Calls	Admixtools
SRA62	Original Coverage	-0.0302	-5.84	Imputed Filtered MAF05	Genotype Calls	Admixtools
Stuttgart	Original Coverage	-0.0231	-5.577	Imputed Filtered MAF05	Genotype Calls	Admixtools
USR1	Original Coverage	-0.0202	-4.259	Imputed Filtered MAF05	Genotype Calls	Admixtools
Ust_Ishim	Original Coverage	-0.021	-4.119	Imputed Filtered MAF05	Genotype Calls	Admixtools
WC1	Original Coverage	-2.30E-02	-4.849	Imputed Filtered MAF05	Genotype Calls	Admixtools
Yamnaya	Original Coverage	-2.14E-02	-4.418	Imputed Filtered MAF05	Genotype Calls	Admixtools
Yana1	Original Coverage	-3.27E-02	-6.248	Imputed Filtered MAF05	Genotype Calls	Admixtools
